qct_id,official_qct_050,E100,E050,Q100,Q050
010010201000,0,0,0,0,0
010010202000,0,0,0,0,0
010010203000,0,0,0,0,0
010010204000,0,0,0,0,0
010010205000,0,0,0,0,0
010010206000,0,0,0,0,0
010010207000,0,0,0,0,0
010010208010,0,0,0,0,0
010010208020,0,0,0,0,0
010010209000,0,0,0,0,0
010010210000,0,0,0,0,0
010010211000,0,0,0,0,0
010030101000,0,0,0,0,0
010030102000,0,0,0,0,0
010030103000,0,0,0,0,0
010030104000,0,0,0,0,0
010030105000,0,0,0,0,0
010030106000,1,1,1,1,1
010030107010,0,0,0,0,0
010030107030,0,0,0,0,0
010030107040,0,0,0,0,0
010030107050,0,0,0,0,0
010030108000,0,0,0,0,0
010030109030,0,0,0,0,0
010030109040,0,0,0,0,0
010030109050,0,0,0,0,0
010030109060,0,0,0,0,0
010030110000,1,1,1,1,1
010030111010,0,0,0,0,0
010030111020,0,0,0,0,0
010030112010,0,0,0,0,0
010030112020,0,0,0,0,0
010030113000,0,0,0,0,0
010030114010,0,0,0,0,0
010030114030,0,0,0,0,0
010030114050,0,0,0,0,0
010030114060,0,0,0,0,0
010030114070,0,0,0,0,0
010030114080,0,0,0,0,0
010030115010,0,0,0,0,0
010030115020,0,1,1,0,0
010030116010,0,0,0,0,0
010030116020,0,0,0,0,0
010039900000,0,0,0,0,0
010059501000,0,0,0,0,0
010059502000,1,1,1,1,1
010059503000,1,1,1,1,1
010059504000,0,0,0,0,0
010059505000,0,1,1,0,0
010059506000,0,0,0,0,0
010059507000,0,0,0,0,0
010059508000,0,0,0,0,0
010059509000,1,1,1,1,1
010070100010,0,0,0,0,0
010070100020,0,0,0,0,0
010070100030,0,0,0,0,0
010070100040,0,0,0,0,0
010090501010,0,0,0,0,0
010090501020,0,0,0,0,0
010090502000,0,0,0,0,0
010090503000,0,0,0,0,0
010090504000,0,0,0,0,0
010090505000,0,0,0,0,0
010090506010,0,0,0,0,0
010090506020,0,0,0,0,0
010090507000,0,0,0,0,0
010119521000,0,0,0,0,0
010119522000,1,1,1,1,1
010119525000,0,0,0,0,0
010139527000,1,1,1,1,1
010139528000,0,0,0,0,0
010139529000,0,1,0,0,0
010139530000,0,0,0,0,0
010139531000,1,1,1,1,1
010139532000,0,0,0,0,0
010139533000,0,0,0,0,0
010139534000,1,1,1,1,1
010139535000,1,1,1,1,1
010150002000,1,1,1,0,1
010150003000,1,1,1,1,1
010150004000,1,1,1,1,1
010150005000,1,1,1,1,1
010150006000,1,1,1,1,1
010150007000,1,1,1,1,1
010150008000,1,1,1,0,1
010150009000,0,0,0,0,0
010150010000,0,0,0,0,0
010150011000,0,0,0,0,0
010150012010,0,0,0,0,0
010150012020,0,0,0,0,0
010150013000,1,1,1,1,1
010150014000,0,0,0,0,0
010150015000,0,0,0,0,0
010150016000,0,1,1,1,0
010150017000,0,0,0,0,0
010150018000,0,0,0,0,0
010150020000,0,0,0,0,0
010150021010,1,1,1,1,1
010150021020,0,0,0,0,0
010150021030,0,1,1,0,0
010150022000,0,0,0,0,0
010150023000,0,1,1,0,0
010150024000,0,0,0,0,0
010150025010,0,0,0,0,0
010150025020,0,0,0,0,0
010150026000,0,0,0,0,0
010159819010,0,0,0,0,0
010159819020,0,0,0,0,0
010159819030,0,0,0,0,0
010179538000,0,0,0,0,0
010179539000,1,1,1,1,1
010179540000,0,0,0,0,0
010179542000,0,0,0,0,0
010179543000,0,0,0,0,0
010179544000,1,1,1,1,1
010179545000,1,1,1,1,1
010179546000,0,0,0,0,0
010179547000,0,0,0,0,0
010199557010,0,0,0,0,0
010199557020,0,1,0,1,0
010199558000,0,0,0,0,0
010199559000,0,0,0,0,0
010199560000,0,0,0,0,0
010199561000,0,0,0,0,0
010210601010,0,0,0,0,0
010210601020,0,0,0,0,0
010210602000,0,0,0,0,0
010210603000,0,0,0,0,0
010210604010,0,0,0,0,0
010210604020,0,0,0,0,0
010210605000,0,0,0,0,0
010210606000,0,0,0,0,0
010210607000,0,0,0,0,0
010239567000,1,1,1,1,1
010239568000,0,0,0,0,0
010239569000,0,0,0,0,0
010239570000,1,1,1,1,1
010259575000,0,0,0,0,0
010259576010,0,0,0,0,0
010259576020,0,0,0,0,0
010259577000,1,1,1,1,1
010259578000,1,1,1,1,1
010259579010,0,0,0,0,0
010259579020,1,1,1,0,1
010259580010,0,1,0,1,0
010259580020,0,1,0,1,0
010279589000,0,0,0,0,0
010279590000,1,1,1,1,1
010279591000,0,0,0,0,0
010279592000,0,0,0,0,0
010299595000,0,0,0,0,0
010299596000,0,0,0,0,0
010299597000,0,0,0,0,0
010299598000,0,0,0,0,0
010310101000,0,0,0,0,0
010310102000,0,0,0,0,0
010310103000,0,0,0,0,0
010310104000,0,0,0,0,0
010310105000,0,0,0,0,0
010310106000,0,0,0,0,0
010310107000,0,0,0,0,0
010310108000,0,0,0,0,0
010310109000,0,0,0,0,0
010310110000,0,1,1,0,0
010310111000,0,0,0,0,0
010310112010,0,0,0,0,0
010310112020,0,0,0,0,0
010310113000,1,1,1,1,1
010330201000,0,0,0,0,0
010330202000,1,1,1,1,1
010330203000,1,1,1,1,1
010330204000,0,0,0,0,0
010330205000,0,0,0,0,0
010330206000,0,0,0,0,0
010330207010,0,0,0,0,0
010330207030,0,0,0,0,0
010330207040,0,0,0,0,0
010330208010,0,0,0,0,0
010330208020,0,0,0,0,0
010330209010,0,0,0,0,0
010330209020,0,0,0,0,0
010330210000,0,0,0,0,0
010359602000,0,0,0,0,0
010359603000,0,0,0,0,0
010359604000,1,1,1,1,1
010359605000,0,1,0,1,0
010359606000,1,1,1,1,1
010379610000,1,1,1,1,1
010379611000,0,0,0,0,0
010379612000,0,0,0,0,0
010399616000,0,0,0,0,0
010399617000,0,0,0,0,0
010399618000,1,1,1,1,1
010399619000,0,0,0,0,0
010399620000,0,0,0,0,0
010399621000,1,1,1,1,1
010399623000,0,0,0,0,0
010399624000,0,0,0,0,0
010399625000,0,1,0,1,0
010399626000,0,1,1,1,0
010399627000,1,1,1,1,1
010399628000,0,0,0,0,0
010399629000,0,0,0,0,0
010399630000,1,1,1,1,1
010419634000,0,0,0,0,0
010419635000,0,0,0,0,0
010419636000,0,0,0,0,0
010419637000,0,0,0,0,0
010419638000,1,1,1,0,1
010419639000,0,0,0,0,0
010439641000,0,0,0,0,0
010439642000,0,0,0,0,0
010439643000,0,0,0,0,0
010439644000,0,0,0,0,0
010439645000,0,0,0,0,0
010439646000,0,0,0,0,0
010439647000,0,0,0,0,0
010439648000,0,0,0,0,0
010439649000,0,0,0,0,0
010439650000,0,0,0,0,0
010439651000,0,0,0,0,0
010439652000,0,0,0,0,0
010439653000,0,0,0,0,0
010439654010,1,1,1,0,1
010439654020,0,0,0,0,0
010439655000,0,0,0,0,0
010439656000,0,0,0,0,0
010439657000,0,0,0,0,0
010450200000,0,0,0,0,0
010450201000,0,0,0,0,0
010450202000,0,0,0,0,0
010450203000,0,0,0,0,0
010450204000,0,0,0,0,0
010450205000,1,1,1,1,1
010450207000,1,1,1,1,1
010450208010,0,0,0,0,0
010450208020,0,0,0,0,0
010450211010,0,0,0,0,0
010450211020,0,0,0,0,0
010450212000,0,0,0,0,0
010450213000,0,0,0,0,0
010450214000,0,0,0,0,0
010479561000,0,0,0,0,0
010479562010,0,1,0,1,0
010479562020,0,0,0,0,0
010479563000,0,0,0,0,0
010479564000,1,1,1,1,1
010479565000,1,1,1,1,1
010479566000,1,1,1,1,1
010479567010,0,0,0,0,0
010479567020,0,1,0,0,0
010479568000,1,1,1,1,1
010479569000,1,1,1,1,1
010479570000,0,1,1,1,0
010479571000,0,0,0,0,0
010479572000,1,1,1,1,1
010479573000,1,1,1,1,1
010499601000,0,0,0,0,0
010499602000,0,0,0,0,0
010499603000,0,0,0,0,0
010499604000,0,0,0,0,0
010499605000,0,0,0,0,0
010499606000,0,0,0,0,0
010499607000,0,0,0,0,0
010499608000,1,1,1,1,1
010499609000,0,0,0,0,0
010499610000,0,1,0,0,0
010499611000,0,1,0,1,0
010499612000,0,0,0,0,0
010499613000,0,1,1,0,0
010499614000,0,0,0,0,0
010510301000,0,0,0,0,0
010510302000,0,0,0,0,0
010510303000,0,0,0,0,0
010510304000,0,0,0,0,0
010510305000,0,0,0,0,0
010510306000,0,0,0,0,0
010510307010,0,0,0,0,0
010510307020,0,0,0,0,0
010510308000,0,0,0,0,0
010510309010,0,0,0,0,0
010510309020,0,0,0,0,0
010510310000,0,0,0,0,0
010510311000,0,0,0,0,0
010510312000,0,0,0,0,0
010510313000,0,0,0,0,0
010539698000,1,1,1,1,1
010539699000,0,0,0,0,0
010539701000,0,0,0,0,0
010539702000,1,1,1,1,1
010539703000,1,1,1,1,1
010539704000,0,0,0,0,0
010539705000,1,1,1,0,1
010539706000,1,1,1,1,1
010539707000,0,0,0,0,0
010550002000,1,1,1,1,1
010550003000,1,1,1,1,1
010550004000,0,0,0,0,0
010550005000,0,0,0,0,0
010550006000,1,1,1,1,1
010550007000,0,1,1,1,0
010550008000,1,1,1,1,1
010550009000,1,1,1,1,1
010550010000,0,1,1,1,0
010550011000,0,0,0,0,0
010550012000,0,0,0,0,0
010550013000,1,1,1,1,1
010550016000,0,1,1,0,0
010550017000,0,0,0,0,0
010550101000,1,1,1,0,1
010550102000,0,0,0,0,0
010550103000,0,0,0,0,0
010550104010,0,0,0,0,0
010550104020,0,0,0,0,0
010550105010,0,0,0,0,0
010550105020,0,0,0,0,0
010550106010,0,0,0,0,0
010550106020,0,0,0,0,0
010550107000,0,0,0,0,0
010550108000,0,0,0,0,0
010550109000,0,0,0,0,0
010550110010,0,0,0,0,0
010550110020,0,0,0,0,0
010550111000,0,0,0,0,0
010550112000,1,1,1,1,1
010570200000,0,0,0,0,0
010570201000,0,0,0,0,0
010570202000,0,0,0,0,0
010570203000,1,1,1,0,1
010570204000,0,0,0,0,0
010599729000,0,0,0,0,0
010599730000,0,0,0,0,0
010599731000,0,0,0,0,0
010599732000,0,1,1,0,0
010599733000,0,0,0,0,0
010599734000,0,1,1,0,0
010599735000,0,0,0,0,0
