eligibility_type,margin_quintile,weight,bottom_n,top_n,bottom_loss_rate,top_loss_rate,risk_difference,year
income,1,0.06900598521300316,160,238,0.1,0.0,0.1,2016
income,2,0.03937331299143293,96,156,0.11458333333333333,0.0,0.11458333333333333,2016
income,3,0.018072996127215114,59,67,0.13559322033898305,0.0,0.13559322033898305,2016
income,4,0.004283534796385401,17,16,0.35294117647058826,0.0625,0.29044117647058826,2016
income,5,0.001232249735946485,5,2,0.4,0.0,0.4,2016
poverty,1,0.11025701208778313,257,443,0.38910505836575876,0.03160270880361174,0.357502349562147,2016
poverty,2,0.09617415796268043,225,393,0.29333333333333333,0.027989821882951654,0.2653435114503817,2016
poverty,3,0.06988616359582209,217,274,0.22580645161290322,0.0072992700729927005,0.21850718153991053,2016
poverty,4,0.03661542072526699,113,144,0.168141592920354,0.013888888888888888,0.1542527040314651,2016
poverty,5,0.020772209834526465,65,96,0.3384615384615385,0.041666666666666664,0.2967948717948718,2016
both,1,0.020772209834526465,56,84,0.017857142857142856,0.0,0.017857142857142856,2016
both,2,0.0644290576223448,173,230,0.017341040462427744,0.0,0.017341040462427744,2016
both,3,0.11201736885342096,357,357,0.03361344537815126,0.0,0.03361344537815126,2016
both,4,0.15907757305480577,667,462,0.031484257871064465,0.0,0.031484257871064465,2016
both,5,0.1780307475648398,942,446,0.027600849256900213,0.002242152466367713,0.0253586967905325,2016
