release_year,product,dataset_id,geography_level,geography_vintage,measure_id,display_name,exact_definition,target_population,eligibility,data_value_type,brfss_source_year,carried_forward_flag,predecessor,exact_copy_percentage,common_geography_count,coverage_change,poststratification_population_base,confidence_interval_method_era,definition_comparability,geography_population_comparability,documentation_source,verification_note,carry_forward_classification,comparability_breaks
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,CANCER,Cancer (except skin cancer),Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2014,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,COLON_SCREEN,Colorectal cancer screening,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,ages 45-75 in 2024/2025; historical age rule requires release-specific definition verification,Crude prevalence,2014,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,DIABETES,Diagnosed diabetes,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2014,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,HIGHCHOL,High cholesterol,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2013,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,MAMMOUSE,Mammography,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,female screening-eligible population; exact age rule requires release-specific verification,Crude prevalence,2014,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,MHLTH,Frequent mental distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2014,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,OBESITY,Obesity,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2014,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2016,500 Cities,9z78-nsfp,tract,2010 Census tracts,PHLTH,Frequent physical distress,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2014,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,CANCER,Cancer (except skin cancer),Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,measure-specific; unresolved here,Crude prevalence,2015,False,,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",new source wave,
2017,500 Cities,vurf-k5wr,tract,2010 Census tracts,COLON_SCREEN,Colorectal cancer screening,Deferred to Stage 0B measure-definition table; identifier/source-year mapping only in preliminary crosswalk.,Adults; measure-specific eligibility applies,ages 45-75 in 2024/2025; historical age rule requires release-specific definition verification,Crude prevalence,2014,True,2016:COLON_SCREEN,,,none documented in preliminary map,2010 Census fixed subcounty population,pre-2023,unresolved,unresolved,CDC release metadata/release notes + C013 frozen prosecution,"Source-year mapping documented; exact definition, exact-copy percentage and common-geography diagnostics deliberately not inferred before Stage 0B.",ambiguous,
